ds,yhat,yhat_lower,yhat_upper
2010-12-01,52350.237979161226,42418.95162176582,63086.42416099169
2011-01-01,54405.1520105936,44163.17142455066,64339.8635534046
2011-02-01,53867.77163654162,44106.38650020706,63973.61070050768
2011-03-01,62522.15825617593,52286.594832756586,73004.58118355385
2011-04-01,67231.90028127855,57171.358675082985,77764.86842153725
2011-05-01,69834.9034932987,59344.255228323906,79832.5968055919
2011-06-01,69577.79255727968,59831.916532026145,80264.2591004274
2011-07-01,75714.66073924793,65067.753464030735,86070.16725087303
2011-08-01,72263.44128679404,61970.86880089385,82550.04011549146
2011-09-01,63196.2532434618,52188.13147851589,74210.58104516844
2011-10-01,63432.99870284712,53245.65336852006,73851.0193482587
2011-11-01,53705.98832873066,43325.3735436541,64071.58983344317
2011-12-01,49817.449618754166,39066.404261035204,59730.750128035805
2012-01-01,51743.45656357532,41120.68527335709,61357.31883238296
2012-02-01,51241.719142355854,41608.93569751572,60812.864529364095
2012-03-01,59605.71562320884,48693.56835966804,70509.60441774687
2012-04-01,64126.998574084886,54180.15592820448,74189.56113374632
2012-05-01,66569.93380717098,56403.47771937589,76166.83736438905
2012-06-01,66115.51509842985,55888.68254560086,76853.53556103497
2012-07-01,71694.62135888658,61252.27715852986,81854.15794327894
2012-08-01,68594.7238960022,57969.278052021196,78759.49870720967
2012-09-01,59906.878489361436,49750.66317394808,69844.06704855723
2012-10-01,60084.47702991068,50227.41218121112,71080.1492345597
2012-11-01,50940.53819123959,40684.02160752315,60295.52163164244
2012-12-01,47230.05978074986,36647.5235775538,56777.463864238925
2013-01-01,49093.026744147435,39019.254441114404,59477.3177263611
2013-02-01,48550.66162736089,38223.92560113919,58684.66919127638
2013-03-01,56467.64674966937,46503.23925002776,67105.36646500483
2013-04-01,60720.60150404652,50964.995825479804,72283.41121497782
2013-05-01,63024.94242139843,52659.16066807866,73195.0923866997
2013-06-01,62638.34672969229,52187.88224722282,73018.85217689478
2013-07-01,67987.60706692873,57598.03199877839,77991.60130969259
2013-08-01,64973.96681542312,54400.85958820419,75242.11078483968
2013-09-01,56748.64400210528,46020.25641742599,66396.79473298063
2013-10-01,56916.69437797366,47208.21875421657,66209.27568942525
2013-11-01,48214.32701643722,37393.54979120064,58729.97912826571
2013-12-01,44693.976469839756,33941.90047504286,55816.63357605743
2014-01-01,46430.712156494854,36232.4856911463,56320.42310136709
2014-02-01,45921.91206163967,34888.596472922,56932.575468659474
2014-03-01,53332.98657464727,42805.669385688074,63833.98795840388
2014-04-01,57320.90950704309,47570.137718272425,66669.36269273325
2014-05-01,59488.22938912203,48809.223993756284,70206.60112295371
2014-06-01,59165.08307607705,48975.259891760965,69329.09565176413
2014-07-01,64271.145629044935,54254.66191318931,74636.2270679254
2014-08-01,61350.21918024263,50733.51302411765,72064.3157367565
2014-09-01,53588.57943215761,43292.532229416785,64378.29014930015
2014-10-01,53742.41414061954,42746.64435768027,64578.01286371243
2014-11-01,45488.012354790786,35312.88798584598,55335.458391101885
2014-12-01,42158.294334217935,32378.55827324295,52886.97377422494
2015-01-01,43769.205470842855,33847.139580508934,54720.34058814445
2015-02-01,43293.01539836305,32729.799675469385,53353.48630944397
2015-03-01,50202.112300282446,39948.39971285286,60458.64932479116
2015-04-01,53928.17140591881,44034.7471551834,64176.01978104717
2015-05-01,55959.71921219077,45607.08774659356,66535.92919322949
2015-06-01,55695.166430085555,45289.78857944218,65873.93273945423
2015-07-01,60545.41640080733,50024.70626941882,70745.14629303763
2015-08-01,57723.831700135146,47849.65594516875,68006.61130824951
2015-09-01,50426.47099831465,40151.327475447295,61457.66689682843
2015-10-01,50561.97405663196,40729.04211348229,61131.63630719942
2015-11-01,42761.52620165839,31727.60179910613,53111.325578311866
2015-12-01,39622.75280610404,29283.38821909116,50325.304083722316
2016-01-01,41108.44082979404,30422.229385042763,51318.95250472884
2016-02-01,40663.69565946464,30131.458501283505,51409.36077586406
2016-03-01,47250.45364416285,36798.416624165984,56819.09506353321
2016-04-01,50775.829527105234,40604.86897556172,61175.92018043833
2016-05-01,52650.64159918694,42399.838247225656,62949.21443419726
2016-06-01,52229.63242603882,41474.88848319233,63001.80701910141
2016-07-01,56571.77019299924,44839.89152864688,66717.2260103483
2016-08-01,54060.69769892682,43305.40970620277,64833.23813488717
2016-09-01,47156.33141368139,36676.11585501539,57534.97804598571
2016-10-01,47239.99420046792,36677.44601160597,57620.172485025694
2016-11-01,40001.16913705979,29474.34024000046,50551.01422062093
2016-12-01,37042.58509623068,26600.077522800595,46680.828218428265
2017-01-01,38455.02429087484,28387.38020406986,49204.13460791626
2017-02-01,37981.58999039422,26976.118678382398,48208.52909233424
2017-03-01,44123.61396662458,33923.44775240669,54345.30467859083
2017-04-01,47385.00144891883,36663.18934161638,58099.81817712438
2017-05-01,49120.553067713765,39261.43466504358,59070.25785786802
2017-06-01,48754.25380806047,37418.542554674284,59147.04851403389
2017-07-01,52848.92199161951,42644.41144500172,63630.81781449715
2017-08-01,50437.644864745125,40215.86470205843,61077.09781332224
2017-09-01,43991.97819161604,33061.23606669677,54746.98137872359
2017-10-01,44062.92091176176,33782.69638188822,54635.24543470105
2017-11-01,37273.42438231341,26181.392362848153,47790.70085789798
2017-12-01,34504.44055676446,24504.403159610487,45294.02606975318
2018-01-01,35793.77165752442,25452.860761393244,46790.42663936451
2018-02-01,35350.14497766429,24642.428573827296,45360.050157668455
2018-03-01,41000.69247045284,30300.454046750034,51580.741628753465
2018-04-01,44001.130018970645,33700.81052973264,54357.60316236721
2018-05-01,45598.552376333595,33946.14953656507,55959.76820626711
2018-06-01,45282.07900275731,34490.553526245414,55780.612000447516
2018-07-01,49116.996560476626,38981.34981430917,59546.09342632704
2018-08-01,46812.047672344175,37049.77171810027,56901.05076452587
2018-09-01,40825.5124218391,30013.496568437247,50792.33017558236
2018-10-01,40879.80556594396,31308.42797520818,51182.698006533705
2018-11-01,34545.427813304734,24468.763931184483,44857.113417616085
2018-12-01,31966.362804138967,21418.02718665219,42678.07129328737
2019-01-01,33133.2729617785,21972.205277954065,43448.65683602253
2019-02-01,32718.274490211636,22165.9362748734,44108.67067379417
2019-03-01,37882.085656767435,27546.554297258594,48459.38730612008
2019-04-01,40624.46512237228,30432.973452186518,51320.86132991597
2019-05-01,42084.560238943086,31647.74769068712,52005.28484016327
2019-06-01,41812.56742910591,31054.514788374672,52233.61786016257
2019-07-01,45376.20361049264,34337.462974107235,56369.11754851413
2019-08-01,43184.25424179018,33198.21999547562,53326.55194661192
2019-09-01,37656.72341412054,26412.915907796523,47823.48349551622
2019-10-01,37690.99063119981,27322.049193655133,47913.990440260626
2019-11-01,31817.104643779192,21503.142224936586,42536.02240815326
2019-12-01,29428.098757959982,19199.26517421766,39777.92578369714
2020-01-01,30473.475067671356,20469.85416687317,41148.76401284383
2020-02-01,30085.727211825415,19542.79804269198,41202.126288021514
2020-03-01,34767.74670418003,24182.451857815955,45231.07520680398
2020-04-01,37424.74296920539,27478.442561383647,47902.467301436765
2020-05-01,38731.442175590935,27916.286725185946,49846.47290197158
2020-06-01,38343.84930988182,27915.229113567006,48490.272016306924
2020-07-01,41449.03482381609,31599.28349925829,51855.476901963506
2020-08-01,39526.79011091192,29193.501661921433,49395.970087618356
2020-09-01,34405.894815438536,24215.75025360646,45461.671271133855
2020-10-01,34395.62892393712,24529.898831191862,44819.77085519924
2020-11-01,29061.905709303275,18840.641503024875,40125.11671110512
2020-12-01,26855.21374516733,16116.172548499651,36696.06925964935
2021-01-01,27817.13510043828,17310.448140252083,37955.911602606546
2021-02-01,27412.636207220836,17975.79431576582,37941.08988153437
2021-03-01,31779.724447571785,21297.314716094064,42241.78491857552
2021-04-01,34049.56282741633,23805.30401439181,44726.66347388116
2021-05-01,35216.338754759345,24376.51686088043,45526.944976217645
2021-06-01,34870.34260765764,24300.304552276277,45355.21773811616
2021-07-01,37710.44237700383,26872.144797163935,47855.91303281493
2021-08-01,35901.52746139084,26103.582562608728,46564.798927625794
2021-09-01,31235.49826374979,20608.603341286005,41901.21822160394
2021-10-01,31209.340962340055,20802.758805369664,40711.27435278675
2021-11-01,26332.691936332692,16491.676262007968,36548.39043898176
2021-12-01,24315.068074177427,14559.309821002242,34394.920847504545
2022-01-01,25157.00708302567,14855.386909486897,34691.69456640692
2022-02-01,24778.5580232184,14520.24593239165,35014.67541033533
2022-03-01,28668.614059284395,16793.021906443566,39240.667838870315
2022-04-01,30681.58675367705,19606.787428891508,40071.20495953547
2022-05-01,31709.124981652767,21748.994832642402,42142.080746329135
2022-06-01,31399.327816564244,20971.119939169515,42169.709436945726
2022-07-01,33963.127113601455,23341.584838540097,44723.02225327417
2022-08-01,32274.14796946758,22066.567972449702,41933.80432579803
2022-09-01,28062.687145144657,18182.11795201072,38394.48291961296
2022-10-01,28017.443657923966,17954.5764460061,38248.29099051452
2022-11-01,23603.055798626472,12859.757430716145,33767.285564780046
2022-12-01,21774.63163778577,11137.00930593198,32245.310570458063
2023-01-01,22497.5521504755,11453.857170988671,33139.96021618003
2023-02-01,22143.74665191834,12155.861121367529,31804.57489380338
2023-03-01,25562.309974278636,14596.829769330707,36407.08383502706
2023-04-01,27321.03309353622,16922.11261139317,37600.74925934831
2023-05-01,28209.690591133847,17735.234448186486,38862.16001096322
2023-06-01,27930.261310488127,17427.4889912221,38190.94610996799
2023-07-01,30207.314443488416,19403.589125741262,40631.87089881522
2023-08-01,28644.990536746842,18598.853039917092,39064.63402269921
2023-09-01,24887.24495321628,15474.335000806039,34995.13089129861
2023-10-01,24820.27218250281,13697.24264197564,36152.695260400935
2023-11-01,20872.902884138366,11342.874678197248,30969.19360162326
2023-12-01,19233.64447791069,8563.333105217389,29561.628738576954
2024-01-01,19838.71234157738,8793.98487263626,30980.073288676245
2024-02-01,19507.955380639178,9340.06775702393,29993.371358809723
2024-03-01,22540.29372545246,12182.279951574135,32373.770502266645
2024-04-01,24073.891545153678,13043.775569159672,35136.06153979112
2024-05-01,24812.48110266062,14419.766237542453,34935.681285553976
2024-06-01,24458.296974168876,14360.234479584198,35912.71600973106
2024-07-01,26326.543417563928,16353.908201623995,36708.414664040814
2024-08-01,24993.109662090454,14383.200622683244,35830.518097102315
2024-09-01,21655.651057450155,11977.709602888177,32997.82959925271
2024-10-01,21551.45164329129,11446.986279424453,32069.68541893563
2024-11-01,18122.79688063973,7052.182781123134,28566.024000419813
2024-12-01,16667.981398741613,6567.080573863943,27008.93265517963
2025-01-01,17179.385700864404,6895.790994287224,27519.284638914738
2025-02-01,16843.81598277509,6997.826885598206,26915.63237065441
2025-03-01,19435.985296844516,9059.620561350503,29578.58370233051
2025-04-01,20714.2799598027,10048.347391085736,31215.01079780913
2025-05-01,21312.280085368777,10002.673358073444,32077.18682864428
2025-06-01,20986.579855161344,11259.033999294772,30517.535993545192
2025-07-01,22572.117271276347,12137.040948897326,32598.783227911583
2025-08-01,21365.551123250116,10957.445953065633,32304.106177724738
2025-09-01,18479.135718370173,8094.299295686773,28991.440410117306
2025-10-01,18355.873036078934,8549.868483913337,27572.820586462403
2025-11-01,15392.04934271726,5588.235421517232,26402.43108030194
2025-12-01,14125.774316516581,3787.898186016578,24333.440164425818
2026-01-01,14520.319343171004,4779.90021690344,25272.837401666875
2026-02-01,14207.0421234356,3929.189971519866,24637.75506968762
2026-03-01,16336.612941583839,5294.463803053704,26015.554443185167
2026-04-01,17362.121980563305,7669.614899282875,27613.310934843477
2026-05-01,17819.77440143395,6856.276927241151,28514.560973059804
2026-06-01,17516.648206490827,6885.176450576396,27448.880398046516
2026-07-01,18809.33030190411,9409.143097442879,29007.272180013806
2026-08-01,17736.312501699977,7548.6035822756785,27795.946595346253
2026-09-01,15299.913477997949,3736.49063517248,25811.023512798172
2026-10-01,15155.129093248712,5059.029265847142,24821.001106529922
2026-11-01,12660.719956064737,1814.7541680978022,22577.397787214
2026-12-01,11582.930462821878,172.1846593593914,22262.42601742419
2027-01-01,11861.858647915136,1369.0431677541512,22072.806736594037
2027-02-01,11569.24199971948,1095.3987937655259,22065.10960485896
2027-03-01,13242.557131667485,3394.718743310488,23392.821529358585
2027-04-01,14017.620740552898,3650.549060484906,24472.009520952724
2027-05-01,14334.83643025072,3813.2040069491463,25402.86221077839
2027-06-01,14047.965482415148,3498.8202402969673,25050.94983975687
2027-07-01,15038.431017145065,4846.182559529614,25619.529878648602
2027-08-01,14105.726883091216,4025.58266341858,24687.716413597114
2027-09-01,12117.76653376627,835.3043145221402,23433.51350851131
2027-10-01,11949.553772000765,1492.628856746538,22218.71586473361
2027-11-01,9928.701153822774,-1049.6420360148797,20085.719082648746
2027-12-01,9039.190222335967,-1110.072775726211,20143.422145935365
2028-01-01,9203.949637951662,-1375.0096178156198,19114.99727457127
