ds,yhat,yhat_lower,yhat_upper
2010-12-01,23025.296841640757,9663.032279470459,34790.76352791634
2011-01-01,23272.5291951964,12073.28027583794,37007.33098151958
2011-02-01,22315.176638056237,9131.0585402746,36051.29692068521
2011-03-01,26644.272398526304,14604.140138313063,40490.190909380435
2011-04-01,29477.796194817933,16755.66956747449,42141.89868966154
2011-05-01,31215.048495416555,18613.592358250695,42904.5653101063
2011-06-01,30648.48203430723,18726.09116291145,42887.48586258329
2011-07-01,33180.88684817672,19843.33619554183,46146.60657758355
2011-08-01,31486.81637470703,18696.254356731424,44097.674751854734
2011-09-01,26568.99636589197,13020.980216792488,37822.84677746157
2011-10-01,29125.161500851656,17295.27343159234,41586.57598915571
2011-11-01,23841.091533588184,10793.61521135693,36501.99912901351
2011-12-01,22492.48088552496,9892.792276489288,35354.540348737995
2012-01-01,22731.480886093344,10913.9834046998,34794.50621583376
2012-02-01,21819.449603311106,8303.523936860678,34047.382889686975
2012-03-01,26101.985896780072,13608.373584879506,39309.86369859465
2012-04-01,28898.328355859532,16213.54260968731,40299.67047297367
2012-05-01,30591.55547628187,18072.219220655465,43649.954851369
2012-06-01,29949.805955051586,17276.618930523768,42369.35807486206
2012-07-01,32335.81292038114,20202.12378416939,45121.287985528514
2012-08-01,30755.59567449682,18077.186403933458,43865.09249771007
2012-09-01,25868.682108105568,12103.846185353901,38197.71602023256
2012-10-01,28361.936351982717,14155.32625445926,40974.147320021664
2012-11-01,23282.988384102748,10813.540886050183,35115.13430677679
2012-12-01,21983.582176153108,8731.928861104709,35011.64268912441
2013-01-01,22220.41581071416,9920.157635799604,34564.943128993975
2013-02-01,21259.390362621667,7843.194526931969,35215.96638228474
2013-03-01,25464.798823917197,11926.240317593474,37596.89346163531
2013-04-01,28183.918997925262,15299.206162109667,40188.825942955635
2013-05-01,29835.86826726893,17454.988027455598,42707.53848475663
2013-06-01,29234.83376903792,16298.898700310203,41171.870309078084
2013-07-01,31592.897921875778,18681.195689764485,43852.7038317077
2013-08-01,30023.830631904217,18394.731421365304,42328.185328644075
2013-09-01,25276.703463064994,13237.422580726385,37269.14965642149
2013-10-01,27713.190789304863,14544.032411261293,42273.92983664171
2013-11-01,22725.612998991273,10471.308063057264,35122.183395806984
2013-12-01,21449.794961760854,7947.745244070614,33619.9104352937
2014-01-01,21678.393890336483,8970.370113702747,33391.292550960316
2014-02-01,20761.339541629415,7932.4962704094005,33525.236188174335
2014-03-01,24827.62038817576,11941.712576486181,37072.61639703683
2014-04-01,27470.376888850184,15203.629449144848,39202.118700207415
2014-05-01,29081.75680228078,15641.603024474969,42062.40428173161
