ds,yhat,yhat_lower,yhat_upper
2010-12-01,48582.101544092715,36567.724256347996,60139.35503514888
2011-01-01,50561.11483234115,39087.51158585735,63566.51345610357
2011-02-01,50285.51158647187,37616.664442743815,63078.96063493924
2011-03-01,59272.0608594588,46146.1247690858,71439.77140087365
2011-04-01,63381.63661687233,51027.078014032464,76754.27652529869
2011-05-01,64446.3682444636,51960.28832316173,77228.07424708572
2011-06-01,64846.070159685034,52197.58501343534,77047.64578714571
2011-07-01,70212.1501542502,57595.50529182844,82501.90866533529
2011-08-01,68271.91031358535,55853.531311875326,81370.13483948015
2011-09-01,58430.0918900598,45750.8597203528,71234.12928567878
2011-10-01,59178.66832042229,47030.27536606403,72390.06775428561
2011-11-01,50190.63695018087,36981.15297309665,62670.07267705063
2011-12-01,46399.855764308435,33445.87476026393,58649.5886663567
2012-01-01,48287.544002433475,36804.468177148876,60725.34448690206
2012-02-01,48038.69386569364,36122.46908971053,61097.73539734484
2012-03-01,56758.788162806864,44797.46821498053,68428.88192388878
2012-04-01,60734.44969918603,47947.779098487656,73462.46308142993
2012-05-01,61693.0487946271,49860.59559396502,74964.45870245139
2012-06-01,61845.03778676568,49055.06547002944,74958.84193295885
2012-07-01,66730.1222502423,53607.566408939245,79784.7417665204
2012-08-01,65061.68355291531,52008.85420729425,76598.56398905792
2012-09-01,55619.00936813915,43212.063364081005,68715.42242588065
2012-10-01,56311.94098524961,42707.14046449159,68270.21564503376
2012-11-01,47826.88266302307,35381.0179319059,60050.41705633438
2012-12-01,44210.09718818269,31639.69219606865,55975.792759220065
2013-01-01,45977.8014249898,34203.40426852371,57653.9172167159
2013-02-01,45666.8317418142,32893.96956129236,58387.585598999976
2013-03-01,53998.237865870455,40540.7655653873,65169.02372773009
2013-04-01,57750.59629905807,44879.90787401711,70116.73986663774
2013-05-01,58663.51660041975,46448.88087930225,70775.21536569245
2013-06-01,58863.54177748117,47281.74324264022,71265.94398618041
2013-07-01,63575.07022259326,50869.14447655452,75754.48510336557
2013-08-01,61913.84312341873,50392.53399034238,75131.77947862331
2013-09-01,52930.22626561884,40709.13438736257,65089.74923698213
2013-10-01,53584.768430845295,40133.32981143053,65982.1263096719
2013-11-01,45474.03586097977,33620.227083955666,58389.711266782346
2013-12-01,42023.84871016843,29735.067886114,53485.865359031406
2014-01-01,43702.64409362756,31741.214833203867,56294.74929572803
2014-02-01,43417.649910816,30754.91640758257,55953.509158396606
2014-03-01,51240.58720956076,38246.48307502843,63924.17006382397
2014-04-01,54773.46493544771,42368.66928331391,67306.09253939525
2014-05-01,55642.30453160966,42393.47643210214,68400.44004857377
2014-06-01,55885.11196751529,43501.09926201673,68267.24896664207
