ds,yhat,yhat_lower,yhat_upper
2010-12-01,33160.78444525137,25963.304370104852,40446.82515754929
2011-01-01,35133.198300845695,28185.20161319648,42290.79905665967
2011-02-01,34521.690446988825,27306.3953730841,41359.64707066158
2011-03-01,40541.48815616194,33427.53648479687,47522.19959042742
2011-04-01,43347.3788822252,35393.570203750685,50140.10423611425
2011-05-01,44366.77967883953,37361.65576333175,51127.16304091797
2011-06-01,44754.52571674472,36943.52892703476,51774.95389307318
2011-07-01,50037.24005272591,42733.348363201076,57146.02016571011
2011-08-01,47615.164711706166,40580.03065908447,54635.50000604301
2011-09-01,40256.24874475525,33117.1285418482,47661.62052265587
2011-10-01,42076.31041899342,35414.70477773236,48749.92860973749
2011-11-01,34839.89852865625,27528.951679007503,41608.32484406952
2011-12-01,31264.428005493093,24715.873716616272,38734.02179518613
2012-01-01,33102.9621729694,25926.39209223079,40175.120397800034
2012-02-01,32523.95422532402,24620.31997610888,39632.79118085249
2012-03-01,38304.03624085848,30740.396603787398,45438.512883372845
2012-04-01,40938.6583272078,33798.88205914023,48446.97392241551
2012-05-01,41890.08121326442,34931.90487348596,49483.18128145762
2012-06-01,42084.14269997364,35340.95324481607,49085.12353082334
2012-07-01,46887.59553157099,39164.30554008135,53766.58785080266
2012-08-01,44768.103678052896,37116.021158263924,51418.31322925708
2012-09-01,37776.59010945204,30676.425324871325,44700.74216380634
2012-10-01,39422.99749782762,31905.388690126347,45586.01412797898
2012-11-01,32712.640198257068,25501.208908270786,39988.232594606314
2012-12-01,29307.878532303832,21990.86250153868,36617.999429382995
2013-01-01,31047.279448294696,23468.817418786224,38052.92594614232
2013-02-01,30475.767823031798,23280.899353097637,37857.23678337493
2013-03-01,35882.35116994669,28753.29947097541,42506.28797179549
2013-04-01,38336.957224816644,30883.43087659636,45520.65634692979
2013-05-01,39212.29279451501,31694.325291688525,46123.90849159855
2013-06-01,39427.87436350527,32039.32039798551,46923.84982165121
2013-07-01,43963.56776492462,37261.74277900056,51256.549081240264
2013-08-01,41909.39315128937,34741.08365690992,48781.87821284858
2013-09-01,35367.12602339502,28617.357368172914,42205.07190547067
2013-10-01,36913.60400065631,29332.0068384306,44345.951695216274
2013-11-01,30591.757819521623,23666.43418811937,37842.66588895341
2013-12-01,27408.356514614094,20313.19099942794,34290.85972143345
2014-01-01,29016.96009518589,21597.824054156263,36039.56742687845
2014-02-01,28476.625394048307,21304.598257044203,35439.070927041306
2014-03-01,33464.67171805804,25869.38761951622,40491.60331792898
2014-04-01,35740.59706223047,28674.150785557787,43005.7377212377
2014-05-01,36541.87730984563,29207.939808967,43409.20173498385
2014-06-01,36773.80462155846,29295.377619198996,44242.727788067066
2014-07-01,41031.2034991203,33811.184519310475,47681.91556987169
2014-08-01,39049.59568839527,31748.743282353676,45998.63465216942
2014-09-01,32957.23617661425,25852.23816570995,39987.46207014877
2014-10-01,34398.21846746997,27556.413028705516,41117.97876652064
2014-11-01,28471.287039984953,21524.503495648787,35821.64434540622
2014-12-01,25508.68937479212,18211.795324127423,33165.14400523112
2015-01-01,26986.063490727418,19778.117883821855,33820.22777689871
2015-02-01,26476.77584842013,19947.709930951096,33957.465328763625
2015-03-01,31051.3386008923,24052.68723034518,38037.891090976664
2015-04-01,33149.76224633886,26211.933312885576,40201.0907354226
2015-05-01,33878.68109115915,26503.62420049258,41266.67237700319
2015-06-01,34121.431064668184,27289.497834572925,41091.29790588196
2015-07-01,38090.759108966035,30970.727486103195,45690.445710955144
2015-08-01,36189.07497883931,29092.35277262117,43772.44295525385
2015-09-01,30546.620696622744,23633.9883798721,37025.84041195627
2015-10-01,31877.178553025293,24353.398035910646,38757.78950631227
2015-11-01,26351.184878111988,18736.22282294254,32912.38148771415
2015-12-01,23608.572178156042,16523.524303616283,31071.574278330667
2016-01-01,24954.558826238714,17874.509692467487,32313.872211088696
2016-02-01,24476.04162751077,17496.850023609015,31517.38087674638
2016-03-01,28779.083945011145,21727.47002034563,36307.407396112234
2016-04-01,30704.564104042936,23048.195807973625,37870.36446937682
2016-05-01,31364.112791063682,24234.831617594464,38788.91891132877
2016-06-01,31452.728228066444,23911.14008677548,38976.684771711276
2016-07-01,34980.955667294395,28334.78871261455,42590.95134738582
2016-08-01,33338.10074644267,25865.52534765728,40177.69169123556
2016-09-01,28079.095869947392,20649.048554744164,35210.16699161029
2016-10-01,29249.232122811027,22119.189386633447,36088.0876675643
2016-11-01,24224.113980121583,16687.01503058495,31360.479529067135
2016-12-01,21662.107056671382,14529.356602760612,28652.711012157437
2017-01-01,22902.653396566962,15429.412024969939,29641.512814173526
2017-02-01,22436.317079918164,15125.500973654833,29371.440843200184
2017-03-01,26368.555121508885,19216.58773951498,33311.14356551842
2017-04-01,28114.842807089783,21409.319547632378,35788.981183756405
2017-05-01,28699.219693893203,22288.038034509413,36216.689887049244
2017-06-01,28796.523051020256,21711.49719355363,36145.16482966324
2017-07-01,32043.209649047654,24884.70412267333,38954.49346942274
2017-08-01,30480.253639154784,23229.34948973866,37910.72970937274
2017-09-01,25665.997420763797,18019.325531122893,33019.575112323364
2017-10-01,26730.93752721587,19595.16045275305,34000.58458974688
2017-11-01,22103.306274142593,14480.780927593729,29510.874443367018
2017-12-01,19759.647929313527,12817.080661311882,26628.68528666036
2018-01-01,20871.12156080187,13821.280681425233,27802.437599749264
2018-02-01,20434.578867086817,13393.439909912591,27421.32346852834
2018-03-01,23962.5376843935,16763.373719533567,31889.739196922495
2018-04-01,25530.72292715357,18862.37157452673,32699.987948510403
2018-05-01,26041.52218144401,18947.07755886957,33380.09304020616
2018-06-01,26141.992763639722,18741.56249164092,33289.03463137519
2018-07-01,29097.686514537465,21876.569849414675,36224.52598681265
2018-08-01,27621.899621194687,20813.036537186457,34616.79021872743
2018-09-01,23252.189923357626,16366.9492285873,30488.729536005096
2018-10-01,24207.30409499254,16982.075980690955,31524.443075860254
2018-11-01,19983.015852681547,12974.081928450398,27184.242663827576
2018-12-01,17856.890285882135,10627.827721006295,24742.787519665886
2019-01-01,18839.315033262865,11408.487408310104,26148.59726047218
2019-02-01,18432.31308447084,11223.098650480992,25681.099477994823
2019-03-01,21561.79698549965,14501.231647077599,28263.83425827807
2019-04-01,22953.227503964627,16232.431939515034,30070.92110819887
2019-05-01,23392.12184010242,16313.298928669505,30184.078672179934
2019-06-01,23490.343970788683,16374.725610383854,30773.169925587787
2019-07-01,26147.01963804886,19387.596190460667,33513.82804243585
2019-08-01,24766.08756802403,17444.400116615925,32025.45423412365
2019-09-01,20840.199254127045,13687.10628981214,27724.165130850604
2019-10-01,21681.994702563887,14544.432651697165,28712.124437829687
2019-11-01,17866.255763281013,10658.085577592123,25076.03237923685
2019-12-01,15956.564757204578,9191.27619701887,23161.07813037033
2020-01-01,16810.73009965442,10230.895807078543,24126.813666795955
2020-02-01,16433.119952876474,9129.119859798826,24123.516433239023
2020-03-01,19182.743452333496,12227.273041470859,25855.310677585912
2020-04-01,20478.05539833733,13074.384071602051,27624.77403505196
2020-05-01,20846.583303013427,13962.70096684064,27686.325792784453
2020-06-01,20830.502140174256,13593.754902279908,28468.281418118397
2020-07-01,23085.326967555433,15765.502767057209,30558.416515313114
2020-08-01,21919.383045895014,14921.004617357012,28723.867916121297
2020-09-01,18391.78282016282,11348.8694225068,25852.609264208873
2020-10-01,19086.76374965906,12157.698331196973,26515.69946818293
2020-11-01,15745.54436150251,9063.830165636933,22442.974232061883
2020-12-01,14025.7664351306,6938.343769881085,21563.66561853828
2021-01-01,14768.582909835897,7132.765849838369,22136.233299358515
2021-02-01,14407.788402138654,7051.222592995145,21708.76035212991
2021-03-01,16868.231739701616,9428.372223720336,24565.647163459325
2021-04-01,17907.855542261426,10780.853306152567,25122.475067981453
2021-05-01,18202.35267347684,11259.6136776483,25915.499056478755
2021-06-01,18182.237650842864,11407.187747980259,25629.424885374956
2021-07-01,20142.721759831944,12812.48866593179,27198.67834748989
2021-08-01,19070.893878799856,11500.65699994711,26520.46348513595
2021-09-01,15982.276225616355,8700.228102867259,23075.077036542974
