LAD24CD,LAD24NM,CSP24CD,CSP24NM,PFA24CD,PFA24NM,ObjectId
E07000136,Boston,E22000173,Boston,E23000020,Lincolnshire,1
E07000137,East Lindsey,E22000174,East Lindsey,E23000020,Lincolnshire,2
E07000138,Lincoln,E22000175,Lincoln,E23000020,Lincolnshire,3
E07000139,North Kesteven,E22000176,North Kesteven,E23000020,Lincolnshire,4
E07000140,South Holland,E22000177,South Holland,E23000020,Lincolnshire,5
E07000141,South Kesteven,E22000178,South Kesteven,E23000020,Lincolnshire,6
E07000142,West Lindsey,E22000179,West Lindsey,E23000020,Lincolnshire,7
E07000143,Breckland,E22000218,Breckland,E23000024,Norfolk,8
E07000144,Broadland,E22000219,Broadland,E23000024,Norfolk,9
E07000145,Great Yarmouth,E22000220,Great Yarmouth,E23000024,Norfolk,10
E07000146,King's Lynn and West Norfolk,E22000221,King's Lynn and West Norfolk,E23000024,Norfolk,11
E07000147,North Norfolk,E22000222,North Norfolk,E23000024,Norfolk,12
E07000148,Norwich,E22000223,Norwich,E23000024,Norfolk,13
E07000149,South Norfolk,E22000224,South Norfolk,E23000024,Norfolk,14
E07000170,Ashfield,E22000251,Ashfield,E23000019,Nottinghamshire,15
E07000171,Bassetlaw,E22000252,Bassetlaw,E23000019,Nottinghamshire,16
E07000172,Broxtowe,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,17
E07000173,Gedling,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,18
E07000174,Mansfield,E22000255,Mansfield,E23000019,Nottinghamshire,19
E07000175,Newark and Sherwood,E22000256,Newark and Sherwood,E23000019,Nottinghamshire,20
E07000176,Rushcliffe,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,21
E07000177,Cherwell,E22000305,Cherwell,E23000029,Thames Valley,22
E07000178,Oxford,E22000308,Oxford,E23000029,Thames Valley,23
E07000179,South Oxfordshire,E22000312,South Oxfordshire,E23000029,Thames Valley,24
E07000180,Vale of White Horse,E22000313,Vale of White Horse,E23000029,Thames Valley,25
E07000181,West Oxfordshire,E22000315,West Oxfordshire,E23000029,Thames Valley,26
E07000192,Cannock Chase,E22000263,Cannock Chase,E23000015,Staffordshire,27
E07000193,East Staffordshire,E22000264,East Staffordshire,E23000015,Staffordshire,28
E07000194,Lichfield,E22000265,Lichfield,E23000015,Staffordshire,29
E07000195,Newcastle-under-Lyme,E22000266,Newcastle-under-Lyme,E23000015,Staffordshire,30
E07000196,South Staffordshire,E22000267,South Staffordshire,E23000015,Staffordshire,31
E07000197,Stafford,E22000268,Stafford,E23000015,Staffordshire,32
E07000198,Staffordshire Moorlands,E22000269,Staffordshire Moorlands,E23000015,Staffordshire,33
E07000199,Tamworth,E22000271,Tamworth,E23000015,Staffordshire,34
E07000200,Babergh,E22000373,Western Suffolk,E23000025,Suffolk,35
E07000202,Ipswich,E22000273,Ipswich,E23000025,Suffolk,36
E07000203,Mid Suffolk,E22000373,Western Suffolk,E23000025,Suffolk,37
E07000207,Elmbridge,E22000279,Elmbridge,E23000031,Surrey,38
E07000208,Epsom and Ewell,E22000280,Epsom and Ewell,E23000031,Surrey,39
E07000209,Guildford,E22000281,Guildford,E23000031,Surrey,40
E07000210,Mole Valley,E22000282,Mole Valley,E23000031,Surrey,41
E07000211,Reigate and Banstead,E22000283,Reigate and Banstead,E23000031,Surrey,42
E07000212,Runnymede,E22000284,Runnymede,E23000031,Surrey,43
E07000213,Spelthorne,E22000285,Spelthorne,E23000031,Surrey,44
E07000214,Surrey Heath,E22000286,Surrey Heath,E23000031,Surrey,45
E07000215,Tandridge,E22000287,Tandridge,E23000031,Surrey,46
E07000216,Waverley,E22000288,Waverley,E23000031,Surrey,47
E07000217,Woking,E22000289,Woking,E23000031,Surrey,48
E07000218,North Warwickshire,E22000319,North Warwickshire,E23000017,Warwickshire,49
E07000219,Nuneaton and Bedworth,E22000320,Nuneaton and Bedworth,E23000017,Warwickshire,50
E07000220,Rugby,E22000321,Rugby,E23000017,Warwickshire,51
E07000221,Stratford-on-Avon,E22000359,South Warwickshire,E23000017,Warwickshire,52
E07000222,Warwick,E22000359,South Warwickshire,E23000017,Warwickshire,53
E07000223,Adur,E22000290,Adur,E23000033,Sussex,54
E07000224,Arun,E22000291,Arun,E23000033,Sussex,55
E07000225,Chichester,E22000293,Chichester,E23000033,Sussex,56
E06000001,Hartlepool,E22000027,Hartlepool,E23000013,Cleveland,57
E06000002,Middlesbrough,E22000029,Middlesbrough,E23000013,Cleveland,58
E06000003,Redcar and Cleveland,E22000028,Redcar and Cleveland,E23000013,Cleveland,59
E06000004,Stockton-on-Tees,E22000030,Stockton-on-Tees,E23000013,Cleveland,60
E06000005,Darlington,E22000072,Darlington,E23000008,Durham,61
E06000006,Halton,E22000023,Halton,E23000006,Cheshire,62
E06000007,Warrington,E22000026,Warrington,E23000006,Cheshire,63
E06000008,Blackburn with Darwen,E22000150,Blackburn with Darwen,E23000003,Lancashire,64
E06000009,Blackpool,E22000151,Blackpool,E23000003,Lancashire,65
E06000010,"Kingston upon Hull, City of",E22000134,"Kingston upon Hull, City of",E23000012,Humberside,66
E06000011,East Riding of Yorkshire,E22000133,East Riding of Yorkshire,E23000012,Humberside,67
E06000012,North East Lincolnshire,E22000135,North East Lincolnshire,E23000012,Humberside,68
E06000013,North Lincolnshire,E22000136,North Lincolnshire,E23000012,Humberside,69
E06000014,York,E22000371,City of York,E23000009,North Yorkshire,70
