ds,yhat,yhat_lower,yhat_upper
2013-05-01,12919.0785406833,9722.40513351299,16429.157915502416
2013-06-01,13373.607988633074,10143.803829986144,16779.554167758728
2013-07-01,14301.072876663613,11116.099673825489,17911.680820125606
2013-08-01,13869.339593617571,10594.899970302924,17297.83225255893
2013-09-01,13770.77265323634,10238.406494527419,17072.030416584377
2013-10-01,14405.758587235216,10962.59808782552,17938.945675561947
2013-11-01,14168.035048230451,10802.996360706715,17616.499013842647
2013-12-01,14360.341042618506,10823.787071922647,17617.782866867572
2014-01-01,14641.152303738798,11414.078808049795,18101.236077897865
2014-02-01,14161.307698814073,10999.629655352821,17359.652177365428
2014-03-01,16390.839311610343,13049.986353416834,19762.319638995243
2014-04-01,16013.616023416242,12697.977855504381,19012.058560243226
2014-05-01,17685.53127543388,14552.122955956896,21021.58350838419
2014-06-01,18273.096388116926,15050.495539925669,21438.16217130383
2014-07-01,19211.822966466883,15757.373396016174,22427.242359037165
2014-08-01,18474.41983389016,15132.345357269009,21712.90753418819
2014-09-01,18457.00176552533,15339.526066608296,22102.254782090902
2014-10-01,19202.463105842584,15937.989553187123,22603.483156507675
2014-11-01,18661.082405252324,15386.071427323419,21718.934101692517
2014-12-01,18656.00830701546,15243.164484256138,21843.27313847252
2015-01-01,19041.115912428686,15682.048270948537,22361.277122526
2015-02-01,18234.564857406636,15002.591032013679,21534.153344741393
2015-03-01,20935.12553731641,17770.4752506079,24152.496148458937
2015-04-01,20789.30282855234,17463.590305487465,24157.074141786466
2015-05-01,22410.590999636228,19237.87713295747,25558.702756313174
2015-06-01,23195.735486409172,19969.21195399303,26283.270076070916
2015-07-01,24054.525655853704,20481.21981464961,27474.018815370087
2015-08-01,23014.83012553798,19755.96866841155,26407.859481059506
2015-09-01,23204.4830350818,19827.79624311365,26414.675739683847
2015-10-01,24064.63852306922,20696.479519639743,27357.80675359693
2015-11-01,23181.29026167972,19838.604771804785,26380.292269635065
2015-12-01,22929.041826539902,19823.90481225521,26367.71052070168
2016-01-01,23498.093989183893,20137.516374539322,26685.324172742887
2016-02-01,22341.1908847822,19020.87379917099,25443.504476419155
2016-03-01,26179.401946904607,22951.49429865606,29247.835435831697
2016-04-01,24313.356561276087,20828.365652833538,27465.280031647824
2016-05-01,27734.10408976821,24451.596929302286,30942.920070387696
2016-06-01,28114.25119793993,24911.952471766705,31244.266412291792
2016-07-01,29938.203304112973,26757.628277739004,33123.440813814486
2016-08-01,28687.655374937407,25363.22020871812,32067.663767061476
2016-09-01,27802.885753245107,24452.688924549006,31366.068247903237
2016-10-01,28750.30716255424,25161.37456459447,32100.35181763154
2016-11-01,28144.9776699802,24917.518350869872,31527.159812263388
2016-12-01,28486.593136595937,25055.029577269073,31776.468937276015
2017-01-01,28580.58970657874,25295.2971766234,31809.460368489097
2017-02-01,27529.476957811552,24534.902856374785,30805.922934182683
2017-03-01,31738.46276365629,28339.88450598647,35067.93098990877
2017-04-01,30102.56824275739,26734.394613729917,33724.09232760389
2017-05-01,33648.46617769362,30317.500762315707,37087.69767774854
2017-06-01,34293.28187737215,30854.71556270078,37597.29594589425
2017-07-01,36146.57645190589,32708.05803260607,39406.281438439786
2017-08-01,34559.33611120085,31419.99869393005,37764.83116478836
2017-09-01,33849.037031364074,30302.07454184543,37251.264026071636
2017-10-01,34964.847464126906,31590.913893998462,38395.03261989835
2017-11-01,33959.400321908135,30509.627392968672,37237.45991863661
2017-12-01,34021.628107724326,30764.764805050043,37380.11630275924
2018-01-01,34287.84672630114,31143.09986842446,37600.2536618061
2018-02-01,32797.24741158583,29439.978571160333,35813.96730854053
2018-03-01,37594.949463374796,34339.805405257204,40887.80776650103
2018-04-01,36351.830772236994,32677.788585103524,39728.85662797893
2018-05-01,39761.66517960237,36577.795049810935,43092.39641669871
2018-06-01,40689.3772195473,37601.55918248334,43994.72055231743
2018-07-01,42396.93959091668,38902.75255131813,45816.30770733082
2018-08-01,40405.51070550559,36971.05057912402,43709.47832923863
2018-09-01,40019.054170083225,36609.62564918895,43325.05863933876
2018-10-01,41298.97334563845,37932.5409592907,44737.677724468136
2018-11-01,39810.31086618761,36303.959863668424,43010.44551262509
2018-12-01,39498.03768324432,36240.25213581591,42866.97570932149
2019-01-01,40007.68366082866,36783.461267526625,43373.76032040715
2019-02-01,37993.9522953953,34638.13399455265,41116.11215444634
2019-03-01,43301.899088365644,39831.95239579625,46741.75079057801
2019-04-01,42661.91097332923,39293.910936507964,46167.72326840261
2019-05-01,45648.604127919076,42308.57399644604,48692.680458437324
2019-06-01,46896.57947472587,43577.76438687649,50632.18560136307
2019-07-01,48200.348113893364,44941.52638250331,51599.2317135684
2019-08-01,45703.91178071869,42431.15005493087,48900.81796624095
2019-09-01,45678.15416920104,42413.969007963344,48918.274271986724
2019-10-01,46980.7976292611,43799.57752496438,50444.452189463285
2019-11-01,44848.65449953257,41670.05285817911,48110.81627425716
2019-12-01,43913.79868176828,40475.195067882356,47031.87094839378
2020-01-01,44545.86349521668,41327.67715736473,47949.61087693385
