ds,yhat,yhat_lower,yhat_upper
2013-05-01,12010.259999539043,10471.449687473074,13791.866245823405
2013-06-01,12403.291119970767,10640.71629570567,14119.564239347761
2013-07-01,13011.493558895401,11327.230364403817,14699.87321690193
2013-08-01,12095.754001575999,10349.402514090523,13779.385678345872
2013-09-01,12205.564859350521,10441.052526235932,13741.205241086598
2013-10-01,12731.695849750447,10961.674521940049,14486.055824132558
2013-11-01,12499.535096737216,10851.544047346315,14247.487167894895
2013-12-01,12260.551614742975,10564.514074184008,14013.98091787885
2014-01-01,12140.684966942144,10390.250246884481,13789.503536285309
2014-02-01,11885.448711270685,10138.372409822281,13661.253233467773
2014-03-01,13332.90821663924,11638.101136380235,14993.940374716412
2014-04-01,12502.972142768773,10760.314677326427,14174.275412271136
2014-05-01,14098.178526368758,12423.265275425714,15628.560619178928
2014-06-01,14755.838274848711,13021.17204755556,16532.95087251584
2014-07-01,15250.257514383531,13653.130657382406,16945.53556946799
2014-08-01,13989.604981840872,12371.298599655122,15644.430108146998
2014-09-01,14172.916945766536,12414.307659063606,15944.793681429008
2014-10-01,14874.316778930497,13145.629898447725,16556.31828629666
2014-11-01,14526.158250471428,12923.761910104644,16257.44923611299
2014-12-01,14198.839034334937,12526.508686177684,15872.537935276325
2015-01-01,14177.161611333864,12481.615717627374,16034.071606705895
2015-02-01,13740.530500849876,12127.069026334979,15423.557959185751
2015-03-01,15207.77113317212,13589.218629930076,16912.30475138901
2015-04-01,14340.933003551598,12713.947171556616,16111.398697832312
2015-05-01,16144.339362319224,14567.524764821765,17818.56261885201
2015-06-01,17109.69071372339,15427.030844132996,18651.010960945365
2015-07-01,17409.933962211468,15474.314083456597,19122.70045893589
2015-08-01,15754.421231701157,13938.911373469982,17337.31995767226
2015-09-01,16023.065686507938,14231.658202065513,17748.268883195862
2015-10-01,16909.82728561562,15086.719778834973,18550.053459595696
2015-11-01,16394.761822435514,14768.467781884026,18106.09265930748
2015-12-01,15942.300263104731,14160.124519367882,17799.46565494839
2016-01-01,16017.711575634832,14273.099167305552,17720.239608665233
2016-02-01,15358.865977667696,13723.408393313177,17168.474299766905
2016-03-01,17445.39779111443,15719.558178026393,19200.30736409601
2016-04-01,16009.468011769663,14369.806777136371,17660.63377077289
2016-05-01,17914.19133936227,16225.350610215442,19719.874216507098
2016-06-01,18044.84797934884,16431.14656090467,19678.14009332178
2016-07-01,19009.069588192284,17184.40334135301,20719.677297856186
2016-08-01,17720.498578900053,15985.492999715456,19383.203799602947
2016-09-01,17609.832532509514,15833.469123851964,19290.895795836026
2016-10-01,18054.36789770431,16327.393727723293,19854.610794715176
2016-11-01,17618.135029096138,16005.01689503023,19438.90670146138
2016-12-01,17158.90692277147,15478.810242679418,18817.068976119608
2017-01-01,16665.7185148841,14950.29863799615,18370.601916429365
2017-02-01,16277.188491155151,14634.720725169529,17943.3143518992
2017-03-01,18309.215272659683,16568.78552147209,19969.018581032713
2017-04-01,16879.90122075961,15195.822704175234,18559.975334882452
2017-05-01,18852.067764629584,17326.112339544576,20581.90549042114
2017-06-01,19248.40013242053,17595.359698940752,20941.47749964353
2017-07-01,19961.092121831378,18273.347068475614,21669.57739898319
2017-08-01,18340.43692769263,16621.75104481483,20025.71863001453
2017-09-01,18295.315027217515,16600.952061178967,19969.20746889862
2017-10-01,18876.171888506055,17278.2048534002,20560.728557436563
2017-11-01,18326.870298749698,16586.652488882326,19984.7876696866
2017-12-01,17783.89296063191,16178.421395287558,19538.4848796726
2018-01-01,17418.15498779541,15639.20116894747,19124.075351235228
