ds,yhat,yhat_lower,yhat_upper
2013-05-01,2619.422452623152,2059.3070003008115,3163.0875625253643
2013-06-01,2759.83213159802,2143.011080797056,3379.6949328906626
2013-07-01,2920.5633054383084,2310.1132385439187,3475.5765315402996
2013-08-01,2628.096572487443,2068.222567026565,3222.517308041311
2013-09-01,2670.9057453113073,2107.588665388448,3221.4667102858534
2013-10-01,2953.218946415865,2373.8382808027136,3531.948765661915
2013-11-01,2881.444156233248,2341.2592496698453,3449.6776417659125
2013-12-01,2989.9591941778654,2413.4625805366586,3565.60766777797
2014-01-01,3025.869686430847,2474.263698030269,3561.8587960894833
2014-02-01,2876.36628351808,2318.4868670677065,3460.135398565317
2014-03-01,3329.109279303224,2762.6229368273644,3881.2905777734954
2014-04-01,3267.830070526436,2679.266046358264,3823.0391152140264
2014-05-01,3590.920213886968,3050.603583253514,4148.726521900436
2014-06-01,3675.0987217386833,3125.637926972739,4238.996900294933
2014-07-01,4063.2361011880644,3511.714493248869,4638.342092258414
2014-08-01,3580.554795787713,2959.2905621092054,4189.292805406396
2014-09-01,3556.942237663787,2998.715588270066,4156.7158134313095
2014-10-01,3820.1468907479775,3271.554690791012,4394.808839313456
2014-11-01,3864.335214559535,3302.484652808294,4477.672887014638
2014-12-01,3903.704977727008,3323.52747890292,4458.656044841847
2015-01-01,3939.3466157485414,3349.7197039395373,4487.1752492410415
2015-02-01,3725.5925543436197,3170.214660190373,4308.462352634264
2015-03-01,4298.575277186749,3709.6656614593558,4888.9629260445745
2015-04-01,4205.86128250491,3678.81965021253,4768.996842972676
2015-05-01,4549.089774338762,3959.3533477998603,5092.8497442686685
2015-06-01,4539.578676202935,3967.2502158569127,5119.481535081826
2015-07-01,5260.800388499631,4695.951484660292,5862.143974969993
2015-08-01,4552.760603651486,3989.942183385198,5112.338134961184
2015-09-01,4433.902701818742,3842.313611702444,5029.867775882149
2015-10-01,4638.583515071919,4051.8338377996897,5221.968714227783
2015-11-01,4879.869229925847,4309.4926627244695,5483.376646692519
2015-12-01,4809.794040678471,4216.703364844917,5392.271870994284
2016-01-01,4851.942477428135,4278.730526449376,5442.503219314811
2016-02-01,4575.524287761216,4021.1615813695503,5122.952055208291
2016-03-01,5219.091719626119,4666.943577761109,5816.387555609507
2016-04-01,5053.908655057975,4449.884226899437,5587.587165321479
2016-05-01,5774.7330597865275,5196.491556162224,6353.6325713630895
2016-06-01,6264.10891475008,5692.266368078704,6809.9781366600755
2016-07-01,6344.098936081434,5796.365448803778,6889.154560167978
2016-08-01,5826.172586645957,5239.353181114306,6417.940182320227
2016-09-01,6055.305945212681,5453.375109900956,6605.52365813462
2016-10-01,6891.0545979949975,6332.891044492228,7467.402576087144
2016-11-01,6485.375193711782,5889.994144253232,7054.199331791318
2016-12-01,6907.957582575736,6292.350435048159,7436.333475017977
2017-01-01,7007.934235978269,6442.34847055198,7583.452712355259
2017-02-01,6692.184494364891,6121.589589866658,7229.252931371923
2017-03-01,7763.950572835258,7228.87754118092,8334.286289717971
2017-04-01,7639.295678507052,7057.004688963554,8211.221791090942
2017-05-01,8521.962775894848,7928.581360896892,9056.66879787402
2017-06-01,8939.818829535252,8370.528056411627,9524.609812816034
2017-07-01,9422.858209758107,8877.5115560468,9960.850853699185
2017-08-01,8446.296479438712,7861.080237184297,9079.915908345805
2017-09-01,8362.243415460684,7787.793488729392,8973.382771681743
2017-10-01,9021.926882217034,8397.374837102403,9600.184084029212
2017-11-01,8588.510783369333,8032.191457479985,9147.390094784005
2017-12-01,8708.048339183888,8119.622378412757,9286.587475197815
2018-01-01,8610.164485609917,8037.619525833191,9178.553401390553
2018-02-01,8001.73152782856,7398.5430866612705,8589.563254047327
2018-03-01,9078.790934150988,8480.013757747414,9644.355593803128
2018-04-01,8722.352499824172,8143.04628725997,9273.083796387358
2018-05-01,9392.642828460484,8802.362566675845,9912.590144486492
2018-06-01,9418.795726880511,8805.349638057762,9989.431131592
2018-07-01,10215.052212649123,9612.90862418216,10770.214338049527
2018-08-01,8828.603078789549,8245.10922553223,9437.913838888973
2018-09-01,8605.882337370766,8050.931826982809,9198.025416430019
2018-10-01,9078.845600872077,8472.63563034436,9670.334462383165
2018-11-01,9019.495945128385,8460.407505853535,9565.935622310039
2018-12-01,8957.052982096266,8406.70547143782,9526.051281023225
