ds,yhat,yhat_lower,yhat_upper
2013-05-01,14215.306630199848,10325.775932573488,18089.52172492573
2013-06-01,14707.646916258405,11002.533210553529,18819.03318493361
2013-07-01,16005.588736651622,11982.01194989021,19926.615124353466
2013-08-01,15501.643886953872,11684.346046049255,19496.97616920547
2013-09-01,15404.855656982569,11161.151094147515,19357.687892519327
2013-10-01,16091.517948328494,12095.770661592172,20097.785756524598
2013-11-01,15676.611870594747,11758.315684852716,20093.287002504192
2013-12-01,15727.934749243985,11769.655574759614,19815.16930461897
2014-01-01,16205.686255794357,12093.005714817687,20210.227544303867
2014-02-01,15688.611172689689,11873.021738280446,19589.191951675843
2014-03-01,18386.991845856075,14388.951588822949,22237.591404921786
2014-04-01,18009.692612452753,13883.86246492985,22204.56184949369
2014-05-01,19965.223907060023,15800.725714684495,23884.958325342956
2014-06-01,20546.698670128324,16974.28858985133,24521.54931965663
2014-07-01,21901.34066170838,18135.00420088264,25994.484458031973
2014-08-01,20963.07355903957,17014.69046051503,24996.28474234791
2014-09-01,20876.786759942843,16668.97227807002,25138.916110356455
2014-10-01,21821.122953796643,17948.42072880655,25491.77344397741
2014-11-01,20854.53346995922,16652.000643754993,24717.014618502726
2014-12-01,20697.54269543374,16588.03966384536,24634.33812506414
2015-01-01,21453.353713655477,17469.476417910733,25701.964091618636
2015-02-01,20693.13187660459,16815.537570034674,24752.36419624697
2015-03-01,23544.24836431769,19339.229028892074,27533.80828379708
2015-04-01,23540.560819642647,19505.09316062105,27828.208226157956
2015-05-01,25849.06079719564,22078.692497795197,29838.82806396097
2015-06-01,26614.00815576851,22566.543271973984,31027.724646984305
2015-07-01,27937.384068994066,23790.48031705956,32028.65004110753
2015-08-01,26575.220337178976,22599.381204097,30807.484538682595
2015-09-01,26661.30230499849,22614.424450179333,30592.769949042526
2015-10-01,28000.47418211801,23960.78712513927,32171.385271533913
2015-11-01,26377.271447940515,22562.55573216674,30281.926967836363
2015-12-01,26018.313630043453,21835.887884049796,29952.137501969406
2016-01-01,27247.516030413306,23089.97698981766,31114.739842972285
2016-02-01,26227.349260672934,22176.36903612897,30103.130181535056
2016-03-01,31126.78219856539,27273.472716024662,35257.26470708802
2016-04-01,28804.94537740058,24680.538784988756,33118.6521246208
2016-05-01,32004.915204308767,27818.304128940053,36019.64901980411
2016-06-01,32427.717523525585,28102.73998062615,36238.065900018715
2016-07-01,35173.67703893213,30548.946047730704,39187.24794835959
2016-08-01,33677.76277329536,29632.125112270995,37676.030103126104
2016-09-01,32664.038041129126,28453.170986775254,36594.809689918795
2016-10-01,33386.684604797105,29533.268310415144,37185.778858103135
2016-11-01,32484.092472936878,28619.877733909816,36486.482452794444
2016-12-01,32336.94422015505,28102.076849291007,36583.67505252295
2017-01-01,32510.12087049406,28238.251212990195,36420.668584905
2017-02-01,31051.094745326438,26695.67779280637,35188.376565308776
2017-03-01,36946.0957974664,32850.91336484637,40874.63265161299
2017-04-01,34925.22041900658,30920.408592404463,39224.520009258034
2017-05-01,38519.811095199686,34490.44305695306,42305.451066184825
2017-06-01,39088.50796698064,35179.54905612171,42787.77135229086
2017-07-01,41782.549505106064,37823.315763050836,45750.17259461066
2017-08-01,39756.89450106634,35639.52897372803,43762.41593973878
2017-09-01,38845.30916228573,34937.111640524854,42698.62608661483
2017-10-01,39944.696963347196,36183.82508032713,43667.98429053189
2017-11-01,38313.86539580645,34434.46733894441,41977.46804389938
2017-12-01,37887.52700890214,33979.87089341263,41927.654765569736
