ds,yhat,yhat_lower,yhat_upper
2013-05-01,8157.319131117952,4588.23277129662,11552.194226797816
2013-06-01,8511.12692853103,4790.7693693979245,11818.320691562227
2013-07-01,9238.865753103444,5626.89036209787,12641.853100158163
2013-08-01,9075.62350173539,5789.812856603315,12744.323343350492
2013-09-01,9115.40782160878,5521.800310418741,12545.922971547569
2013-10-01,9592.673194081392,6052.959780947138,13046.95823290649
2013-11-01,9609.296501320294,6125.636435856751,12969.586618033996
2013-12-01,9828.169206661154,6079.001658336454,13366.827238047968
2014-01-01,10148.117804001004,6640.889634279341,13773.423327055232
2014-02-01,9934.056298419773,5962.777941748615,13759.619958215453
2014-03-01,11546.89188989093,8176.0341453689625,15066.370566836233
2014-04-01,11141.754239965061,7600.306897621616,14326.77404374881
2014-05-01,12616.67592357834,9070.832736547152,16117.472777241448
2014-06-01,12889.262820564703,9173.590314377372,16202.276786806451
2014-07-01,13718.565872315385,10271.654299200003,17256.84648651954
2014-08-01,13231.81845979831,9731.370385628765,16682.040484662295
2014-09-01,13326.228706590695,9820.8407905882,17080.786905855923
2014-10-01,13942.64473352205,10491.211804315943,17569.901082280016
2014-11-01,13715.615750396257,10088.094104641512,17434.036934195276
2014-12-01,13805.808742982186,10240.616281583742,17666.671116542155
2015-01-01,14149.670709425376,10464.882971133218,17711.623097004354
2015-02-01,13622.286337072022,10112.342495001127,17319.40537959852
2015-03-01,15814.437371778731,12393.798902176623,19254.30367534111
2015-04-01,15285.45447095707,11698.558137525633,18933.56973354365
2015-05-01,17120.83154015305,13581.431968325853,20899.597731714315
2015-06-01,17264.967940605224,13528.898713523215,20963.633340743236
2015-07-01,18148.680208574693,14317.814613857186,21761.299890449438
2015-08-01,17309.693632828443,13746.77562470355,20822.45901149782
2015-09-01,17594.59421325076,13912.949925140467,21120.4319721596
2015-10-01,18395.409426988717,14658.647354838053,21757.53543579837
2015-11-01,17880.665842533086,14448.949016537104,21334.20900439731
2015-12-01,17815.03950869467,14347.13960011814,21353.736308399268
2016-01-01,18223.82848292889,14657.274465073357,21652.0309992842
2016-02-01,17344.706674212386,13615.357441621642,20845.589877543305
2016-03-01,20347.39760088254,16834.93014656543,23756.427499677648
2016-04-01,19033.73624821911,15376.49607008656,22474.125999556032
2016-05-01,21463.31727726874,18249.82551913052,25124.890717506503
2016-06-01,21962.877347621463,18826.14489719232,25570.651684517514
2016-07-01,23440.36957348253,19698.90698142918,27096.965504790303
2016-08-01,22638.07846813608,18976.740232143566,26347.928694328617
2016-09-01,21963.861617257764,18183.782709136198,25590.696165030102
2016-10-01,22567.467556927786,18946.602133445307,26103.29847157563
2016-11-01,22369.628535351763,18726.142217740435,25846.28459113678
2016-12-01,22649.207582883886,19070.014747636684,26335.902936205894
2017-01-01,22967.61047797481,19520.12314994785,26623.5294506859
2017-02-01,22316.87468802917,18753.981065991607,25871.68000467023
2017-03-01,25444.366366131733,21840.617733035666,29028.338842994544
2017-04-01,23976.235152093825,20372.87708128148,27697.423949933196
2017-05-01,26891.681107052053,23382.443790081365,30387.934571665835
2017-06-01,27289.164570248224,24005.855467486483,30944.58308020471
2017-07-01,28881.463238363827,25040.21287167321,32347.522133384115
2017-08-01,27678.523186035392,23930.69838648142,31146.23791807137
2017-09-01,27158.03042622638,23740.225443849016,30582.6186441374
2017-10-01,27974.307417706656,24515.566921073616,31523.856793006515
2017-11-01,27440.207306100463,23863.71986171354,31106.155995827634
2017-12-01,27528.02179476186,24084.912565291826,31073.64836608132
2018-01-01,27888.879330832184,24397.851174642172,31548.487532007468
2018-02-01,26810.64643208782,23217.09711559151,30000.60515673545
2018-03-01,30679.983768117887,27186.122192773997,34291.65800286557
2018-04-01,29117.113373499407,25699.865368059425,32664.653395696372
2018-05-01,32469.70094171523,28822.40609839169,35979.02688492146
2018-06-01,32671.499955050396,29341.594234352797,36528.51733736598
2018-07-01,34287.32882417969,30335.507855001855,37794.33021570052
2018-08-01,32612.172543390436,29179.872482495182,36347.35005454615
2018-09-01,32407.535664797415,28711.315714078908,35953.32938471357
2018-10-01,33486.35971656124,30337.015654093706,37145.761323941166
2018-11-01,32535.18290926824,28942.05910542291,35849.34522941264
2018-12-01,32372.9140361684,28709.94420395276,35906.09421034423
2019-01-01,32799.655525955655,29485.571121370464,36181.83416210687
2019-02-01,31228.90243644255,27713.00575218697,35055.953291916885
2019-03-01,35905.206067212166,32253.353111976325,39656.18745791354
2019-04-01,34346.54452780968,30744.79958784013,38018.57965989261
2019-05-01,38099.769589602074,34698.424376819115,41844.28327518436
2019-06-01,38041.66976302998,34436.314713191925,41586.72183737814
2019-07-01,39619.61191765037,36240.7797081404,42949.07586752419
2019-08-01,37439.1012051201,33817.573836206946,40822.493684539855
2019-09-01,37715.11832050457,34238.58951815043,41098.416543180465
2019-10-01,39101.09152371049,35626.72296337526,42813.02298229173
2019-11-01,37649.84724750838,34234.4610226955,41167.05640522171
2019-12-01,37181.051575648096,33570.271742325,40723.90809727667
2020-01-01,37698.387159453756,34304.870527031315,41116.67965154699
2020-02-01,35572.61026911176,32106.127015947655,39419.55442054705
2020-03-01,36142.722912729754,32582.340833211827,39898.56075200086
2020-04-01,38362.3067369255,34696.94617041847,41848.31991641252
2020-05-01,42870.40368481173,39256.647117977904,46495.507919132324
2020-06-01,43472.93718449969,40397.61103981967,47107.52746184945
2020-07-01,46004.532497256296,42688.90757812228,49552.25505404094
2020-08-01,44052.26401900783,40299.48918493148,47589.065157828234
2020-09-01,42332.79966651303,38823.27474019153,45914.26653459904
2020-10-01,43106.37887319671,39512.8791474845,46634.50131502663
2020-11-01,42344.08224357065,38969.07786253526,45983.96822287545
2020-12-01,42510.42159345255,39217.964061094855,46161.39113737128
2021-01-01,42741.42858573507,38896.61170712115,46466.262041842434
2021-02-01,41185.765586358386,37547.42105381917,44646.108646839966
2021-03-01,46614.52069576474,42965.71981968511,50404.59837331742
2021-04-01,43578.82756907931,39964.691774367704,47237.0962522137
2021-05-01,48514.89640060696,44950.2616708528,52132.07154309289
2021-06-01,48863.911117696916,45388.971276499324,52031.82091221402
2021-07-01,51350.33092595778,47536.058523691725,54916.133260228606
2021-08-01,48761.167249754675,45421.0491424767,52412.804313098015
2021-09-01,47416.4347128185,43790.23320764568,51026.07252260338
2021-10-01,48428.388266450944,44908.89573767853,51865.048635989275
2021-11-01,47097.69355715307,43598.53641038276,50637.34254426371
2021-12-01,46688.29048083791,43142.09378039808,50029.25564459947
2022-01-01,46731.278157789566,43114.64695448732,50491.69616575488
2022-02-01,44393.733114582545,40721.6836785355,47814.618259390845
2022-03-01,50267.28252297562,46830.73470207866,53577.53928082725
2022-04-01,47161.51881677348,43888.12808124306,50812.520534421456
2022-05-01,51811.35401316713,48281.71432174796,55469.3299530204
2022-06-01,51344.29065082858,47698.56472000706,54805.644124620856
2022-07-01,53104.02812299866,49476.92333324197,56597.50903688314
2022-08-01,49763.891880457384,46439.13261278025,53260.04082509945
2022-09-01,48730.577143388226,44902.571665881194,51903.69365405702
2022-10-01,49530.10348790564,45767.95081155865,53175.39575873115
2022-11-01,47318.54471891157,43774.746633821385,50971.806333019944
2022-12-01,46327.44997565388,42528.13797456937,49982.53736540094
2023-01-01,46167.46135494919,42945.18273922641,49698.68134146219
2023-02-01,43241.26955512782,39671.14734479775,46703.167391944975
2023-03-01,48991.18215139265,45288.0223640553,52571.76183837567
2023-04-01,46114.45503656869,42846.17762009002,49742.98307800195
2023-05-01,50367.786963933184,46528.35356138849,53964.151720303584
2023-06-01,49499.37408692584,45766.76397549671,53096.03302004719
2023-07-01,50773.389846869904,47376.0001940165,54199.719190597985
2023-08-01,47235.760965480324,43859.56358215841,50792.48183120403
2023-09-01,46852.652935095626,43207.947882839115,50331.9271792912
2023-10-01,47857.22702604781,44206.84839551146,51554.70366260386
2023-11-01,45383.34609379079,41772.331066727915,48831.349687684706
2023-12-01,44166.24808955538,40764.84096835257,47697.163689938825
2024-01-01,44112.58331566233,40646.32233923927,47671.8720927216
2024-02-01,41008.45023414191,37403.49606299046,44342.946356322434
2024-03-01,47076.139835827744,43471.61172558488,50533.46531264023
2024-04-01,42977.9201670086,39057.75781240807,46593.996325374486
2024-05-01,47353.42128855992,44028.31457308891,51062.15486239981
2024-06-01,47326.32167219851,43714.23300266893,50920.37428267959
2024-07-01,49387.532270420714,45493.012253741705,52855.303584206304
2024-08-01,46618.18258072337,43220.12696647813,50272.56264456556
2024-09-01,44164.55247377468,40642.032216036074,47567.81005981438
2024-10-01,44359.26335185392,40852.44771021226,48031.2320651531
2024-11-01,42965.49050404903,39234.99015218884,46228.326142159895
2024-12-01,42553.83833001163,39202.253387558456,46121.58306587757
2025-01-01,42193.69027958369,38536.12963013726,45571.012909511686
2025-02-01,40099.17682294374,36480.00504621119,43712.43401296335
2025-03-01,44823.946892991145,41267.15283135543,48514.22254363674
2025-04-01,41334.99497972601,37812.475791722914,44831.84730931983
2025-05-01,45414.38612895292,41720.71322928804,48955.8716603164
2025-06-01,45125.56892507986,41450.00022605205,48600.71366764675
2025-07-01,46807.21934958164,43371.122580360025,50481.59948725786
2025-08-01,43945.60788623177,40362.85410914633,47435.02632844068
2025-09-01,42252.917849939615,38947.73915277697,45816.17350271419
2025-10-01,42686.086040146016,39005.104432665954,46223.84623812816
2025-11-01,41048.76466577289,37462.133857866036,44550.516458174025
2025-12-01,40405.75154469761,36826.21611677544,43963.336335419684
2026-01-01,40148.722356810606,36589.88349575003,43608.77014539261
2026-02-01,37862.62330203637,34554.429349588565,41501.84024767335
2026-03-01,42589.56927792298,38839.4329906807,46212.83754517304
2026-04-01,39666.41312795094,36368.843647338545,43105.92795573492
2026-05-01,43443.13755229904,39741.12501941347,46751.36538416125
2026-06-01,42913.840364528594,39392.935757193,46545.82425203208
2026-07-01,44246.531948833785,40871.49287580052,47645.62280389693
2026-08-01,41329.47839716546,37915.85257544453,44801.03254164591
2026-09-01,40339.744456562476,36782.760161067235,43880.109881786135
2026-10-01,40971.340483213724,37396.15831590564,44768.823869928856
2026-11-01,39111.84725190073,35172.68398489237,42492.67661167261
2026-12-01,38263.9264378004,34578.51563003201,41783.44320097901
2027-01-01,38101.99748327195,34504.96059817126,41446.626276740884
2027-02-01,35658.90513847672,32220.681905518275,39396.92912851531
2027-03-01,40371.60275177709,36770.029204612045,44019.2793902044
2027-04-01,37970.608670392845,34488.76133605403,41967.24108945913
2027-05-01,41440.42580525688,37587.29366435535,45281.09884322114
2027-06-01,40692.81361221072,37033.52288919247,44612.311614903876
2027-07-01,41707.04447081133,37982.10939719722,45925.871008844755
2027-08-01,38769.03276815917,34743.937130006765,42497.37315430978
2027-09-01,38422.53261389231,34778.85499402484,42463.81688340768
2027-10-01,39214.423413354554,35324.250884722904,43273.34964199452
2027-11-01,37155.78693467952,33300.96363693214,41059.955290276
2027-12-01,36129.41911660947,32178.971016425654,40268.76055300486
2028-01-01,36054.40655343275,31810.104493922703,40209.05716435157
