PFA_Name,Year,Population,Area_Sq_Km,IMD_Score,Police_Count,Crime_Count,Alpha_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_i
Avon and Somerset,2021.0,1256842.000000015,4666.95,41.86992184552263,3072,85162.0,0.004186992184552264,0.012422523874295257,0.10756321868221361,248.31393710309476,-10259.412107594315
Bedfordshire,2021.0,707573.4000000171,1235.46,53.920716320716316,1364,31705.0,0.005392071632071632,0.11270797244535909,0.023083069937949785,255.37140923657358,404.0515095252338
Cambridgeshire,2021.0,890796.2000000067,3389.6400000000003,45.85250240330455,1655,41987.0,0.004585250240330455,0.07024328355597532,0.0399661413812735,261.7066250716137,668.127553979656
Cheshire,2021.0,1100039.000000015,2346.16,49.520938645426355,2191,61508.0,0.004952093864542636,0.15422779505666748,0.13203885078594643,333.5895791452629,-422.65646017403054
Cleveland,2021.0,572906.4000000097,597.65,67.99951660064139,1426,53054.0,0.006799951660064139,0.09159476645848923,0.06268581534854548,245.94876874150478,-5816.9003068483635
Cumbria,2021.0,1601062.1999999806,20303.67,55.91788016232991,1274,25393.0,0.005591788016232991,0.20361293451486664,0.0816936031230837,515.9122473614002,-1309.9349435527056
Derbyshire,2021.0,1084594.4000000046,2624.74,53.265624239958676,1913,75260.0,0.005326562423995868,0.14814425669653938,0.1102717057771467,413.4192536832692,-6979.2791054517975
Devon and Cornwall,2021.0,1778693.800000012,10268.31,54.989900597778934,3319,82259.0,0.005498990059777894,0.07743189173725668,0.2675804628300053,282.4485504772361,-18088.97016030532
Dorset,2021.0,1583606.6000000052,2977.06,48.08856502242153,1293,43321.0,0.004808856502242153,0.15378410184550698,0.11395248665466114,351.1290883495421,8475.710439902596
Durham,2021.0,631565.0000000075,2423.3799999999997,65.66666666666667,1228,46316.0,0.006566666666666668,0.10805410022536045,0.0793845019966066,348.98966402229325,-613.1730244544356
Dyfed-Powys,2021.0,517094.40000000224,10954.32,51.97845788460139,1207,26590.0,0.00519784578846014,0.13394201622071683,0.16279059646281935,320.82450952932237,1026.1099820101435
