PFA_Name,Year,IMD_Score,Police_Count,Crime_Count,Alpha_i,B_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_Monthly_Snapshot
Avon and Somerset,2021,44.764594192836014,3072,85162.0,0.004476459419283601,69.03181377107546,0.012512254184383714,0.10756321868221361,248.31393710309476,5343.124131696329
Bedfordshire,2021,53.920716320716316,1364,31705.0,0.005392071632071632,80.1104742573785,0.10430099029245386,0.023083069937949785,255.37140923657358,629.785943129106
Cambridgeshire,2021,45.85250240330455,1655,41987.0,0.004585250240330455,56.395510820121814,0.06581410319852399,0.0399661413812735,261.7066250716137,-1619.5205534188274
Cheshire,2021,49.520938645426355,2191,61508.0,0.004952093864542636,130.82802150869628,0.1459218614483416,0.13203885078594643,334.50880495366243,-9735.949719542628
Cleveland,2021,67.99951660064139,1426,53054.0,0.006799951660064139,50.57861448149794,0.08811145209926806,0.06268581534854548,245.94876874150478,787.8319800290002
Cumbria,2021,55.91788016232991,1274,25393.0,0.005591788016232991,37.77139377575917,0.19921290331960673,0.0816936031230837,515.9122473614002,5364.075750476432
Derbyshire,2021,53.265624239958676,1913,75260.0,0.005326562423995868,220.21297330951765,0.13550024810836722,0.1102717057771467,413.40644089342794,4680.248867305602
Devon and Cornwall,2021,54.989900597778934,3319,82259.0,0.005498990059777894,163.31495969541695,0.06050083988265113,0.2675804628300053,294.77435479933115,-2012.0115022002017
Dorset,2021,48.08856502242153,1293,43321.0,0.004808856502242153,96.94754213774026,0.14435937904432686,0.11395248665466114,357.29199051058964,6375.093741693547
Durham,2021,65.66666666666667,1228,46316.0,0.006566666666666668,86.84336955529695,0.10219230370281668,0.0793845019966066,348.98966402229325,6349.398140126362
Dyfed-Powys,2021,52.20054179830648,1207,26590.0,0.005220054179830649,-122.91405146279504,0.16177390602541164,0.16279059646281935,322.9015941819398,1731.6189530940226
Essex,2021,48.64249830130973,3474,119255.0,0.004864249830130973,72.37557302317497,0.2259824266428439,0.19798796535805316,952.3635529207877,-14086.570814768884
Gloucestershire,2021,42.82169693450181,1191,43762.0,0.004282169693450181,42.16233161976392,0.12897551125041398,0.11710170519428939,275.0524913969335,-5063.91046969452
Greater Manchester,2021,64.06394920617097,7263,0.0,0.0064063949206170975,3.8397616913486003,202.2465809243427,2.2360599915712482,666.1589933881562,662.3192316968076
Gwent,2021,52.20054179830648,1364,38127.0,0.005220054179830649,186.4844471840418,0.17486000985820505,0.14990018819695802,295.7916390797459,-798.9580927999042
Hampshire and Isle of Wight,2021,43.14797429022277,3129,104387.0,0.004314797429022277,83.53354567470907,0.07116184698124216,0.0874008040393226,268.184407608069,-6759.066047683391
Hertfordshire,2021,40.33497332322295,2258,55823.0,0.004033497332322295,37.85724605394112,0.18833651126468753,0.029487277238564685,907.2702140226058,950.5318605332629
Humberside,2021,60.47984100121401,2102,51580.0,0.006047984100121402,156.1821916644088,0.10404378269508717,0.0369440543837566,353.2708292802144,1118.9407118692561
Kent,2021,55.51723561371496,3880,127153.0,0.005551723561371496,160.23958643985236,0.24156057132860823,0.11328466638127774,1279.067604181651,21382.703083104716
Lancashire,2021,60.162611531893084,3239,143994.0,0.006016261153189309,247.89348266999093,0.14394208081079068,0.11102933626239057,417.75341164882053,-11139.23700792231
Leicestershire,2021,42.290760292721075,2252,48939.0,0.004229076029272107,94.34630517567017,0.06625688971017538,0.03421900509348746,271.66126110692005,415.33406056127023
Lincolnshire,2021,59.016483508756906,1133,42056.0,0.005901648350875691,6.170106459921331,0.1044838753544705,0.055972632981138984,266.6874921673295,-1995.7265574758815
"London, City of",2021,31.666666666666668,851,2044.0,0.003166666666666667,-10.35323780580318,5.826580288869396,0.10392566243293065,3221.2936065750623,1553.920332018976
Merseyside,2021,67.11468913562608,3962,97135.0,0.006711468913562608,86.80920287584352,0.1284986913747799,0.11586479764575924,390.2996326375432,11613.76783379454
Metropolitan Police,2021,58.95259528047169,33433,546421.0,0.005895259528047169,-532.0300826469731,0.12786376700132,0.04755964035731477,340.78836765422705,35615.10316684899
Norfolk,2021,57.97262889600568,1809,44762.0,0.005797262889600569,44.378485007749006,0.0980935255019185,0.09268266651126425,203.73280219009627,-2973.0384981279935
North Wales,2021,52.20054179830648,1640,45136.0,0.005220054179830649,39.414882043802464,0.09931177192905732,0.08306468719691056,287.9942554477342,1868.0468342127067
North Yorkshire,2021,39.403933797073634,1542,47649.0,0.003940393379707364,21.511466912676028,0.20263481883720086,0.11909125230974618,524.6443152257632,4025.096720232057
Northamptonshire,2021,49.80767916922867,1398,46641.0,0.004980767916922867,54.061242283396275,0.10727894886021784,0.06192713856900558,220.48783911180035,944.8185532936448
Northumbria,2021,64.01796301740093,3486,110195.0,0.006401796301740093,166.19246466187215,0.11780628997809597,0.09835828127569135,223.06700321476887,709.5280969061497
Nottinghamshire,2021,53.07263995786478,2222,74780.0,0.005307263995786478,288.1638703126464,0.09557195592373902,0.09955960504763975,349.6498342154014,5827.310022523527
South Wales,2021,52.20054179830648,3151,83597.0,0.005220054179830649,62.57861508334805,0.1434469679217934,0.1089182367122207,168.91312317805006,-9256.33701938839
South Yorkshire,2021,67.056185956853,2825,86532.0,0.0067056185956853006,112.23170497215435,0.11177125037376924,0.015613475774641972,480.9131123496196,1650.3579266377901
Staffordshire,2021,50.06831967597653,1779,59530.0,0.005006831967597654,135.55710301201566,0.08066510374102262,0.07129180540928623,470.25058070408915,-3221.170663954708
Suffolk,2021,51.6708943367096,1318,32993.0,0.00516708943367096,32.43940204938999,0.13186007212934694,0.14341576353873253,344.03469893244153,-2638.0870968835675
Surrey,2021,30.98171738979266,2061,50222.0,0.003098171738979266,52.43496873594691,0.2626357017420531,0.05701189552104819,1041.8856627604932,-857.5456344680073
Sussex,2021,49.99813447905561,2870,92066.0,0.004999813447905561,9.373352860919237,0.11550797550733216,0.09634856180752262,437.3078154324783,-12585.383013389817
